String ID,enu,Comment
en.APP_LAYOUT.PROCESS_SERVICES,Process Services, 
en.APP_LAYOUT.LOGIN,Login, 
en.APP_LAYOUT.CUSTOM_SOURCES,Custom Sources, 
en.APP_LAYOUT.DATATABLE,Datatable, 
en.APP_LAYOUT.DATATABLE_LAZY,Datatable (Lazy), 
en.APP_LAYOUT.DOCUMENT_LIST,Document List, 
en.APP_LAYOUT.TEMPLATE,Template, 
en.APP_LAYOUT.FORM,Form, 
en.APP_LAYOUT.FORM_LIST,Form List, 
en.APP_LAYOUT.FORM_LOADING,Form Loading, 
en.APP_LAYOUT.UPLOADER,Uploader, 
en.APP_LAYOUT.WEBSCRIPT,Webscript, 
en.APP_LAYOUT.TAG,Tag, 
en.APP_LAYOUT.PIPES,Pipes, 
en.APP_LAYOUT.TRASHCAN,Trashcan, 
en.APP_LAYOUT.SOCIAL,Social, 
en.APP_LAYOUT.SETTINGS,Settings, 
en.APP_LAYOUT.CONFIG-EDITOR,Configuration Editor, 
en.APP_LAYOUT.OVERLAY_VIEWER,Overlay Viewer, 
en.APP_LAYOUT.ABOUT,About, 
en.APP_LAYOUT.SEARCH,Extended Search, 
en.APP_LAYOUT.EXTENDED_SEARCH_QUERY_BODY,Extended Search with Query Body, 
en.APP_LAYOUT.WORD_TO_SEARCH,Search Word, 
en.APP_LAYOUT.SEARCH_CREATED_BY,Created By, 
en.APP_LAYOUT.SEARCH_SERVICE_APPROACH,Check this to disable the input property and configure using the service, 
en.APP_LAYOUT.HEADER_DATA,Header Data, 
en.APP_LAYOUT.TREE_VIEW,Tree View, 
en.APP_LAYOUT.ICONS,Icons, 
en.APP_LAYOUT.PEOPLE_GROUPS_CLOUD,People/Group Cloud, 
en.APP_LAYOUT.PEOPLE_CLOUD,People Cloud Component, 
en.APP_LAYOUT.GROUPS_CLOUD,Groups Cloud Component, 
en.APP_LAYOUT.CONFIRM-DIALOG,Confirmation Dialog, 
en.APP_LAYOUT.COMMUNITY,Community, 
en.TRASHCAN.ACTIONS.DELETE_PERMANENT,Delete permanently, 
en.TRASHCAN.ACTIONS.RESTORE,Restore, 
en.TRASHCAN.EMPTY_STATE.TITLE,Trash is empty, 
en.TRASHCAN.EMPTY_STATE.FIRST_TEXT,Items you delete are moved to the Trash., 
en.TRASHCAN.EMPTY_STATE.SECOND_TEXT,Empty Trash to permanently delete items., 
en.DOCUMENT_LIST.MULTISELECT_CHECKBOXES,Multiselect (with checkboxes), 
en.DOCUMENT_LIST.THUMBNAILS,Enable Thumbnails, 
en.DOCUMENT_LIST.ALLOW_DROP_FILES,Enable Drop Files in a folder, 
en.DOCUMENT_LIST.MULTIPLE_FILE_UPLOAD,Multiple File Upload, 
en.DOCUMENT_LIST.FOLDER_UPLOAD,Folder upload, 
en.DOCUMENT_LIST.CUSTOM_FILTER,Custom extensions filter, 
en.DOCUMENT_LIST.MAX_SIZE,Max size filter, 
en.DOCUMENT_LIST.ENABLE_VERSIONING,Enable versioning, 
en.DOCUMENT_LIST.DESCRIPTION_UPLOAD,Enable upload, 
en.DOCUMENT_LIST.ENABLE_INFINITE_SCROLL,Enable Infinite Scrolling, 
en.DOCUMENT_LIST.MULTISELECT_DESCRIPTION,Use Cmd (Mac) or Ctrl (Windows) to toggle selection of multiple items, 
en.DOCUMENT_LIST.RECENT.EMPTY_STATE.TITLE,Recent Files list is empty, 
en.DOCUMENT_LIST.RECENT.TITLE,Recent Files, 
en.DOCUMENT_LIST.COLUMNS.DISPLAY_NAME,Display name, 
en.DOCUMENT_LIST.COLUMNS.IS_LOCKED,Lock, 
en.DOCUMENT_LIST.COLUMNS.TAG,Tag, 
en.DOCUMENT_LIST.COLUMNS.NODE_ID,Node id, 
en.DOCUMENT_LIST.COLUMNS.CREATED_BY,Created by, 
en.DOCUMENT_LIST.COLUMNS.CREATED_ON,Created on, 
en.DOCUMENT_LIST.COLUMNS.CREATED,Created, 
en.DOCUMENT_LIST.COLUMNS.SIZE,Size, 
en.DOCUMENT_LIST.COLUMNS.DELETED_ON,Deleted, 
en.DOCUMENT_LIST.COLUMNS.DELETED_BY,Deleted by, 
en.DOCUMENT_LIST.TOOLBAR.CARDVIEW,Card view mode, 
en.DOCUMENT_LIST.TOOLBAR.SHARE_EDIT,Edit settings, 
en.DOCUMENT_LIST.TOOLBAR.NEW_FOLDER,New folder, 
en.DOCUMENT_LIST.TOOLBAR.EDIT_FOLDER,Edit folder, 
en.DOCUMENT_LIST.TOOLBAR.DOWNLOAD,Download, 
en.DOCUMENT_LIST.TOOLBAR.DELETE,Delete, 
en.DOCUMENT_LIST.TOOLBAR.FAVORITES,Add to favorites, 
en.DOCUMENT_LIST.TOOLBAR.SHARE,Share, 
en.DOCUMENT_LIST.TOOLBAR.THEME,Select a theme, 
en.DOCUMENT_LIST.TOOLBAR.SHOW_VERSION,Show version, 
en.DOCUMENT_LIST.TOOLBAR.HIDE_VERSION,Hide version, 
en.DOCUMENT_LIST.TOOLBAR.LISTVIEW,List view mode, 
en.DOCUMENT_LIST.TOOLBAR.CREATE_LIBRARY,Create Library, 
en.DOCUMENT_LIST.ACTIONS.VERSIONS,Manage versions, 
en.DOCUMENT_LIST.ACTIONS.LOCK,Lock, 
en.DOCUMENT_LIST.ACTIONS.METADATA,Info, 
en.DOCUMENT_LIST.ACTIONS.DOWNLOAD,Download, 
en.DOCUMENT_LIST.ACTIONS.PERMISSION,Permission, 
en.DOCUMENT_LIST.ACTIONS.FOLDER.COPY,Copy, 
en.DOCUMENT_LIST.ACTIONS.FOLDER.MOVE,Move, 
en.DOCUMENT_LIST.ACTIONS.FOLDER.DELETE,Delete, 
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.COPY,Copy, 
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.MOVE,Move, 
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.DELETE,Delete, 
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.PROCESS_ACTION,Start Process, 
en.DATATABLE.RESET_DEFAULT,Reset to default, 
en.DATATABLE.ADD_ROW,Add row, 
en.DATATABLE.REPLACE_ROWS,Replace rows, 
en.DATATABLE.REPLACE_COLUMNS,Replace columns, 
en.DATATABLE.LOAD_NODE,Load Node, 
en.DATATABLE.MULTISELECT,Multiselect, 
en.DATATABLE.MULTISELECT_DESCRIPTION,Use Cmd (Mac) or Ctrl (Windows) to toggle selection of multiple items, 
en.ANALYTICS_REPORT.NO_REPORT_MESSAGE,No report selected. Choose a report from the list, 
en.PS-TAB.TASKS-TAB,Tasks, 
en.PS-TAB.PROCESSES-TAB,Process, 
en.PS-TAB.REPORTS-TAB,Reports, 
en.PS-TAB.SETTINGS-TAB,Settings, 
en.PS-TAB.START-TASK,Start task, 
en.PS-TAB.START-PROCESS,Start process, 
en.PS-TAB.PROCESS-AUDIT-LOG,Process Audit log, 
en.PS-TAB.TASK-AUDIT-LOG,Task Audit log, 
en.PS-TAB.TASK-SHOW-HEADER,Show details header, 
en.PS_CLOUD_TAB.APPS_TAB,App, 
en.PS_CLOUD_TAB.SETTINGS_TAB,Settings, 
en.FORM-LIST.STORE,Store, 
en.FORM-LIST.RESTORE,Restore, 
en.FORM-LOADING.FORM_DATA,Form Data, 
en.FORM-LOADING.FORM_DATA_MESSAGE,Enter values to populate the form, 
en.FORM-LOADING.TYPEAHEAD_PLACEHOLDER,Typeahead, 
en.FORM-LOADING.RADIO_PLACEHOLDER,Radio Button, 
en.FORM-LOADING.SELECT_PLACEHOLDER,DropDown, 
en.LOGIN.CONTENT_SERVICES,Content Services, 
en.LOGIN.PROCESS_SERVICES,Process Services, 
en.LOGIN.LOGIN_FOOTER,Login footer, 
en.LOGIN.SHOW_REMEMBERME,Show remember me, 
en.LOGIN.SHOW_SUCCESS_ROUTE,Show success route, 
en.LOGIN.CUSTOM_LOGO,Custom Logo, 
en.SEARCH.RESULTS,Search results, 
en.SEARCH.NO_RESULT,No results found, 
en.SEARCH.FACET_FIELDS.TYPE,1:Type, 
en.SEARCH.FACET_FIELDS.SIZE,2:Size, 
en.SEARCH.FACET_FIELDS.CREATOR,3:Creator, 
en.SEARCH.FACET_FIELDS.MODIFIER,4:Modifier, 
en.SEARCH.FACET_FIELDS.CREATED,5:Created, 
en.SEARCH.FACET_QUERIES.MY_FACET_QUERIES,My facet queries, 
en.SEARCH.FACET_QUERIES.CREATED_THIS_YEAR,1.Created This Year, 
en.SEARCH.FACET_QUERIES.MIMETYPE,2.Type: HTML, 
en.SEARCH.FACET_QUERIES.XTRASMALL,3.Size: xtra small, 
en.SEARCH.FACET_QUERIES.SMALL,4.Size: small, 
en.SEARCH.FACET_QUERIES.MEDIUM,5.Size: medium, 
en.SEARCH.FACET_QUERIES.LARGE,6.Size: large, 
en.SEARCH.FACET_QUERIES.XTRALARGE,7.Size: xtra large, 
en.SEARCH.FACET_QUERIES.XXTRALARGE,8.Size: XX large, 
en.SOCIAL.LIKE,Like component, 
en.SOCIAL.RATING,Rating component, 
en.TAG.LIST,List Tags Content Services, 
en.TAG.INSERT,Insert Node ID, 
en.TAG.NODE_LIST,Tag list By Node ID, 
en.DEMO_PERMISSION.INHERIT_PERMISSION_BUTTON,Inherit Permission, 
en.DEMO_PERMISSION.INHERITED_PERMISSIONS_BUTTON,Permission Inherited, 
en.TASK_LIST_DEMO.ERROR_MESSAGE.APP_ID_REQUIRED_ERROR,Insert App ID, 
en.TASK_LIST_DEMO.ERROR_MESSAGE.APP_ID_TYPE_ERROR,App ID must be a number, 
en.TASK_LIST_DEMO.ERROR_MESSAGE.NUMBER_TYPE_ERROR,Value must be a number, 
en.TASK_LIST_DEMO.ERROR_MESSAGE.NUMBER_GREATER_THAN,Value must be greater than or equal to {{ value }}, 
en.TASK_LIST_DEMO.TOOLTIP_MESSAGE.START_INPUT,Starting page, 
en.PROCESS_LIST_DEMO.ERROR_MESSAGE.APP_ID_REQUIRED_ERROR,Insert App ID, 
en.PROCESS_LIST_DEMO.ERROR_MESSAGE.APP_ID_TYPE_ERROR,App ID must be a number, 
en.PROCESS_LIST_DEMO.ERROR_MESSAGE.NUMBER_GREATER_THAN,Value must be greater than or equal to {{ value }}, 
en.GROUP-TITLE1-TRANSLATION-KEY,CUSTOM TITLE TRANSLATION ONE, 
en.GROUP-TITLE2-TRANSLATION-KEY,CUSTOM TITLE TRANSLATION TWO, 
en.ERROR_CONTENT.507.TITLE,ACS Disk full, 
en.ERROR_CONTENT.507.DESCRIPTION,Content exceeds overall storage quota limit configured for the network or system, 
en.ERROR_CONTENT.507.RETURN_BUTTON.TEXT,Back to home, 
en.PROCESS_LIST_CLOUD_DEMO.TITLE,PROCESS LIST CLOUD DEMO, 
en.PROCESS_LIST_CLOUD_DEMO.CUSTOMIZE_FILTERS,Customise your filter, 
en.TASK_LIST_CLOUD_DEMO.CUSTOMIZE_FILTERS,Customise your filter, 
en.PEOPLE_GROUPS_CLOUD.SINGLE,Single Selection, 
en.PEOPLE_GROUPS_CLOUD.MULTI,Multiple Selection, 
en.PEOPLE_GROUPS_CLOUD.PRESELECTED_VALUE,Preselect, 
en.PEOPLE_GROUPS_CLOUD.ROLE,Roles, 
en.PEOPLE_GROUPS_CLOUD.APP_NAME,Application Name, 
en.PEOPLE_GROUPS_CLOUD.APP_FILTER_MODE,Filter by application name, 
en.PEOPLE_GROUPS_CLOUD.ROLE_FILTER_MODE,Filter by role, 
en.PEOPLE_GROUPS_CLOUD.PRESELECT_VALIDATION,Preselect validation, 
en.SETTINGS_CLOUD.MULTISELECTION,Multiselection, 
en.SETTINGS_CLOUD.TESTING_MODE,Testing Mode, 
en.SETTINGS_CLOUD.SELECTION_MODE,Selection Mode, 
en.SETTINGS_CLOUD.SELECTED_ROWS,Selected Rows, 
en.SETTINGS_CLOUD.TASK_DETAILS_REDIRECTION,Display task details on task click, 
en.SETTINGS_CLOUD.PROCESS_DETAILS_REDIRECTION,Display process details on process click, 
en.SETTINGS_CLOUD.ACTION.ACTION_TITLE,Add Action, 
en.SETTINGS_CLOUD.ACTION.ACTION_MENU,Action Menu, 
en.SETTINGS_CLOUD.ACTION.CONTEX_MENU,Context Menu, 
en.SETTINGS_CLOUD.ACTION.ACTION_VISIBLE,Visible, 
en.SETTINGS_CLOUD.ACTION.ACTION_DISABLE,Disable, 
en.SETTINGS_CLOUD.ACTION.ADD_BUTTON,Add, 
en.SETTINGS_CLOUD.ACTION.KEY,Key, 
en.SETTINGS_CLOUD.ACTION.TITLE,Title, 
en.SETTINGS_CLOUD.ACTION.ICON,Icon, 
en.SETTINGS_CLOUD.ACTION.TASK_ID,Task ID, 
en.SETTINGS_CLOUD.ACTION.PROCESS_ID,Process Instance ID, 
en.SETTINGS_CLOUD.ACTION.ACTION_TYPE,Action Type, 
en_2.ADF_VERSION_LIST.ACTIONS.RESTORE,Restore, 
en_2.ADF_VERSION_LIST.ACTIONS.DELETE,Delete, 
en_2.ADF_VERSION_LIST.ACTIONS.DOWNLOAD,Download, 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.TITLE,Upload new version, 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.TOOLTIP,Restriction: you must upload a file with the same name to create a new version of it, 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.MAJOR,major changes (2.0), 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.MINOR,minor changes (1.1), 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.COMMENT,Leave a comment, 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.ADD,Add New Version, 
en_2.ADF_VERSION_LIST.ACTIONS.UPLOAD.CANCEL,Cancel, 
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.TITLE,Delete version, 
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.MESSAGE,Deleted file versions cannot be restored. Continue?, 
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.YES_LABEL,Yes, 
en_2.ADF_VERSION_LIST.CONFIRM_DELETE.NO_LABEL,No, 
en_2.ADF_DROPDOWN.LOADING,Loading, 
en_2.ADF_CONFIRM_DIALOG.TITLE,Confirm, 
en_2.ADF_CONFIRM_DIALOG.ACTION,Do you want to proceed?, 
en_2.ADF_CONFIRM_DIALOG.YES_LABEL,Yes, 
en_2.ADF_CONFIRM_DIALOG.NO_LABEL,No, 
en_2.ADF-DOCUMENT-LIST.EMPTY.HEADER,This folder is empty, 
en_2.ADF-DOCUMENT-LIST.NO_PERMISSION,You don't have permission to view this file or folder., 
en_2.ADF-DOCUMENT-LIST.LAYOUT.CREATED,Created, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.THUMBNAIL,Thumbnail, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.NAME,Name, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.LOCATION,Location, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.SIZE,Size, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.DELETED_ON,Deleted, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.DELETED_BY,Deleted by, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.STATUS,Status, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.MODIFIED_ON,Modified, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.MODIFIED_BY,Modified by, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.SHARED_BY,Shared by, 
en_2.ADF-DOCUMENT-LIST.LAYOUT.LOAD_MORE,Load more, 
en_2.ADF-DOCUMENT-LIST.MENU_ACTIONS.VIEW,View, 
en_2.ADF-DOCUMENT-LIST.MENU_ACTIONS.REMOVE,Remove, 
en_2.ADF-DOCUMENT-LIST.MENU_ACTIONS.DOWNLOAD,Download, 
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.ACTION_CREATE,Create, 
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.ACTION_NEW_FOLDER,New Folder, 
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.CREATE,Create, 
en_2.ALFRESCO_DOCUMENT_LIST.BUTTON.CANCEL,Cancel, 
en_2.DROPDOWN.PLACEHOLDER_LABEL,Site List, 
en_2.DROPDOWN.MY_FILES_OPTION,My files, 
en_2.NODE_SELECTOR.CANCEL,Cancel, 
en_2.NODE_SELECTOR.CHOOSE,Choose, 
en_2.NODE_SELECTOR.COPY,Copy, 
en_2.NODE_SELECTOR.COPY_ITEM,Copy '{{ name }}' to, 
en_2.NODE_SELECTOR.MOVE,Move, 
en_2.NODE_SELECTOR.MOVE_ITEM,Move '{{ name }}' to, 
en_2.NODE_SELECTOR.NO_RESULTS,No results found, 
en_2.NODE_SELECTOR.SEARCH,Search, 
en_2.NODE_SELECTOR.SEARCH_RESULTS,Search results, 
en_2.NODE_SELECTOR.SELECT_LOCATION,Select Location, 
en_2.OPERATION.SUCCESS.CONTENT.COPY,Copy successful, 
en_2.OPERATION.SUCCESS.CONTENT.MOVE,Move successful, 
en_2.OPERATION.SUCCESS.FOLDER.COPY,Copy successful, 
en_2.OPERATION.SUCCESS.FOLDER.MOVE,Move successful, 
en_2.OPERATION.ERROR.CONFLICT,"This name is already in use, try a different name.", 
en_2.OPERATION.ERROR.UNKNOWN,The action was unsuccessful. Try again or contact your IT Team., 
en_2.OPERATION.ERROR.PERMISSION,You don't have access to do this., 
en_2.TAG.LABEL.NEWTAG,New Tag, 
en_2.TAG.MESSAGES.EXIST,Tag already exists, 
en_2.TAG.BUTTON.ADD,Add Tag, 
en_2.ADF_FILE_UPLOAD.BUTTON.MINIMIZE,Minimize, 
en_2.ADF_FILE_UPLOAD.BUTTON.MAXIMIZE,Maximize, 
en_2.ADF_FILE_UPLOAD.BUTTON.CLOSE,Close, 
en_2.ADF_FILE_UPLOAD.BUTTON.CANCEL_ALL,Cancel uploads, 
en_2.ADF_FILE_UPLOAD.BUTTON.CANCEL_FILE,Cancel upload, 
en_2.ADF_FILE_UPLOAD.BUTTON.REMOVE_FILE,Remove uploaded file, 
en_2.ADF_FILE_UPLOAD.STATUS.FILE_CANCELED_STATUS,Canceled, 
en_2.ADF_FILE_UPLOAD.STATUS.FILE_DONE_STATUS,Uploaded, 
en_2.ADF_FILE_UPLOAD.CONFIRMATION.BUTTON.CANCEL,Yes, 
en_2.ADF_FILE_UPLOAD.CONFIRMATION.BUTTON.CONTINUE,No, 
en_2.ADF_FILE_UPLOAD.CONFIRMATION.MESSAGE.TITLE,Cancel Upload, 
en_2.ADF_FILE_UPLOAD.CONFIRMATION.MESSAGE.TEXT,Stop uploading and remove files already uploaded., 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.VERSION,File version {{ version }}, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG,Upload list, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG_MAXIMIZE,Maximize upload dialog, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG_MINIMIZE,Minimize upload dialog, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.DIALOG_CLOSE,Close upload dialog, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CANCEL_ALL,Cancel all uploading files, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.REMOVE_FILE,Remove uploaded file {{ file }}, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CANCEL_FILE,Cancel scheduled file {{ file }}, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CANCEL_FILE_UPLOAD,Cancel file upload {{ file }}, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.UPLOAD_FILE_ERROR,Upload error {{ error }}, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CONFIRMATION.CANCEL,Confirm cancel, 
en_2.ADF_FILE_UPLOAD.ARIA-LABEL.CONFIRMATION.CONTINUE,Continue upload, 
en_2.FILE_UPLOAD.BUTTON.UPLOAD_FILE,Upload file, 
en_2.FILE_UPLOAD.BUTTON.UPLOAD_FOLDER,Upload folder, 
en_2.FILE_UPLOAD.VERSION.MESSAGES.NO_ACCEPTED_FILE_TYPES,"Please note that the setting of ""acceptedFilesType"" has no effect for new version uploads. The file type will be the same as the original file's.", 
en_2.FILE_UPLOAD.VERSION.MESSAGES.INCOMPATIBLE_VERSION,Only a file of the same type may be uploaded as a new version., 
en_2.FILE_UPLOAD.MESSAGES.UPLOAD_CANCELED,Upload canceled, 
en_2.FILE_UPLOAD.MESSAGES.UPLOAD_PROGRESS,Uploaded {{ completed }} / {{ total }}, 
en_2.FILE_UPLOAD.MESSAGES.UPLOAD_ERROR,{{ total }} upload unsuccessful, 
en_2.FILE_UPLOAD.MESSAGES.UPLOAD_ERRORS,{{ total }} uploads unsuccessful, 
en_2.FILE_UPLOAD.MESSAGES.PROGRESS,Upload in progress, 
en_2.FILE_UPLOAD.MESSAGES.FOLDER_ALREADY_EXIST,The folder {0} already exists, 
en_2.FILE_UPLOAD.MESSAGES.FOLDER_NOT_SUPPORTED,"Folder upload isn't supported by your browser, try a different browser", 
en_2.FILE_UPLOAD.MESSAGES.REMOVE_FILE_ERROR,"{{ fileName }} couldn't be removed, try again or check with your IT Team.", 
en_2.FILE_UPLOAD.MESSAGES.REMOVE_FILES_ERROR,"{{ total }} files couldn't be removed, try again or check with your IT Team.", 
en_2.FILE_UPLOAD.MESSAGES.EXCEED_MAX_FILE_SIZE,File {{ fileName }} is larger than the allowed file size, 
en_2.FILE_UPLOAD.ACTION.UNDO,Undo, 
en_2.FILE_UPLOAD.ERRORS.GENERIC,Upload unsuccessful. Contact IT if this problem persists, 
en_2.FILE_UPLOAD.ERRORS.500,"Internal server error, try again or contact IT support [500]", 
en_2.FILE_UPLOAD.ERRORS.504,"The server timed out, try again or contact IT support [504]", 
en_2.FILE_UPLOAD.ERRORS.403,Insufficient permissions to upload in this location [403], 
en_2.FILE_UPLOAD.ERRORS.404,Upload location no longer exists [404], 
en_2.FILE_UPLOAD.ERRORS.409,A file with the same name already exists [409], 
en_2.FILE_UPLOAD.ARIA-LABEL.ERROR,Upload error, 
en_2.WEBSCRIPT.ERROR,Couldn't complete the action. Share this message with your IT Team: Error during the deserialization of {{data}} as {{contentType}}, 
en_2.SEARCH.BUTTON.TOOLTIP,Search, 
en_2.SEARCH.BUTTON.ARIA-LABEL,Search button, 
en_2.SEARCH.INPUT.ARIA-LABEL,Search input, 
en_2.SEARCH.RESULTS.SUMMARY,{{numResults}} result found for {{searchTerm}}, 
en_2.SEARCH.RESULTS.NONE,No results found for {{searchTerm}}, 
en_2.SEARCH.RESULTS.ERROR,We hit a problem during the search - try again., 
en_2.SEARCH.RESULTS.COLUMNS.NAME,Display name, 
en_2.SEARCH.RESULTS.COLUMNS.MODIFIED_BY,Modified by, 
en_2.SEARCH.RESULTS.COLUMNS.MODIFIED_AT,Modified at, 
en_2.SEARCH.FILTER.ACTIONS.CLEAR,Clear, 
en_2.SEARCH.FILTER.ACTIONS.APPLY,Apply, 
en_2.SEARCH.FILTER.ACTIONS.CLEAR-ALL,Clear all, 
en_2.SEARCH.FILTER.ACTIONS.SHOW-MORE,Show more, 
en_2.SEARCH.FILTER.ACTIONS.SHOW-LESS,Show less, 
en_2.SEARCH.FILTER.ACTIONS.FILTER-CATEGORY,Filter category, 
en_2.SEARCH.FILTER.BUTTONS.CLEAR-ALL.LABEL,Clear all, 
en_2.SEARCH.FILTER.BUTTONS.CLEAR-ALL.TOOLTIP,This will remove all selections, 
en_2.SEARCH.FILTER.BUTTONS.RESET-ALL.LABEL,Reset all, 
en_2.SEARCH.FILTER.BUTTONS.RESET-ALL.TOOLTIP,This will reset all selections and all filters, 
en_2.SEARCH.FILTER.RANGE.FROM,From, 
en_2.SEARCH.FILTER.RANGE.TO,To, 
en_2.SEARCH.FILTER.RANGE.FROM-DATE,From, 
en_2.SEARCH.FILTER.RANGE.TO-DATE,To, 
en_2.SEARCH.FILTER.VALIDATION.REQUIRED-VALUE,Required value, 
en_2.SEARCH.FILTER.VALIDATION.NO-DAYS,No days selected., 
en_2.SEARCH.FILTER.VALIDATION.INVALID-FORMAT,Invalid Format, 
en_2.SEARCH.FILTER.VALIDATION.INVALID-DATE,Invalid date. The date must be in the format '{{ requiredFormat }}', 
en_2.SEARCH.FILTER.VALIDATION.BEYOND-MAX-DATE,The date is beyond the maximum date., 
en_2.SEARCH.ICONS.ft_ic_raster_image,Image file, 
en_2.SEARCH.ICONS.ft_ic_pdf,PDF document, 
en_2.SEARCH.ICONS.ft_ic_ms_excel,Microsoft Excel file, 
en_2.SEARCH.ICONS.ft_ic_ms_word,Microsoft Word document, 
en_2.SEARCH.ICONS.ft_ic_ms_powerpoint,Microsoft PowerPoint file, 
en_2.SEARCH.ICONS.ft_ic_video,Video file, 
en_2.SEARCH.ICONS.ft_ic_document,Document file, 
en_2.SEARCH.ICONS.ft_ic_website,Web resource, 
en_2.SEARCH.ICONS.ft_ic_archive,Archive file, 
en_2.SEARCH.ICONS.ft_ic_presentation,Presentation file, 
en_2.SEARCH.ICONS.ft_ic_spreadsheet,Spreadsheet file, 
en_2.SEARCH.DOCUMENT_LIST.COLUMNS.DISPLAY_NAME,Display name, 
en_2.SEARCH.DOCUMENT_LIST.COLUMNS.CREATED_BY,Created by, 
en_2.SEARCH.DOCUMENT_LIST.COLUMNS.CREATED_ON,Created, 
