String ID,enu,Comment
transfer-model.trx_applicationmodel.aspect.trx_alien.name,Transfer Alien, 
transfer-model.trx_applicationmodel.aspect.trx_alien.description,Nodes with this aspect are either alien nodes or have been invaded by other alien nodes, 
templates-messages.templates.translatable.translatable,Translatable, 
templates-messages.templates.translatable.yes,Yes, 
templates-messages.templates.translatable.no,No, 
templates-messages.templates.translatable.no_document_found,No document found, 
templates-messages.templates.show_audit.current_document_audit_info,Current Document Audit Info, 
templates-messages.templates.show_audit.name,Name, 
templates-messages.templates.show_audit.user_name,User Name, 
templates-messages.templates.show_audit.application,Application, 
templates-messages.templates.show_audit.method,Method, 
templates-messages.templates.show_audit.timestamp,Timestamp, 
templates-messages.templates.show_audit.values,Audit Entry Values, 
templates-messages.templates.show_audit.current_space_audit_info,Current Space Audit Info, 
templates-messages.templates.recent_docs.documents_created_or_modified_in_the_last_week,Documents created or modified in the last week, 
templates-messages.templates.recent_docs.name,Name, 
templates-messages.templates.recent_docs.created_date,Created Date, 
templates-messages.templates.recent_docs.modified_date,Modified Date, 
templates-messages.templates.my_summary.name,Name, 
templates-messages.templates.my_summary.user,User, 
templates-messages.templates.my_summary.home_space_location,Home Space location, 
templates-messages.templates.my_summary.items_in_home_space,Items in Home Space, 
templates-messages.templates.my_summary.items_in_company_space,Items in Company Space, 
templates-messages.templates.my_docs.name,Name, 
templates-messages.templates.my_docs.size,Size, 
templates-messages.templates.my_docs.modified.date,Modified Date, 
templates-messages.templates.my_docs.locked,Locked, 
templates-messages.templates.my_docs.kb,KB, 
templates-messages.templates.my_docs.yes,Yes, 
templates-messages.templates.localizable.localisable,Localisable, 
templates-messages.templates.localizable.yes,Yes, 
templates-messages.templates.localizable.locale,Locale, 
templates-messages.templates.localizable.no,No, 
templates-messages.templates.localizable.no_document_found,No document found!, 
templates-messages.templates.general_example.example_template_start,=====Example Template Start=====, 
templates-messages.templates.general_example.company_home_space,Company Home Space, 
templates-messages.templates.general_example.my_home_space,My Home Space, 
templates-messages.templates.general_example.company_home_children_count,Company Home children count, 
templates-messages.templates.general_example.company_home_first_child_node_name,Company Home first child node name, 
templates-messages.templates.general_example.current_document_name,Current Document Name, 
templates-messages.templates.general_example.current_space_name,Current Space Name, 
templates-messages.templates.general_example.list_of_child_spaces_in_my_home_space,List of child spaces in my Home Space, 
templates-messages.templates.general_example.path,Path, 
templates-messages.templates.general_example.list_of_docs_in_my_home_space,"List of docs in my Home Space (text only content shown inline, JPG images shown as thumbnails)", 
templates-messages.templates.general_example.assoc_example,Assoc example, 
templates-messages.templates.general_example.example_template_end,=====Example Template End=====, 
templates-messages.templates.doc_info.current_document_info,Current Document Info, 
templates-messages.templates.doc_info.name,Name, 
templates-messages.templates.doc_info.ref,Ref, 
templates-messages.templates.doc_info.type,Type, 
templates-messages.templates.doc_info.dbid,DBID, 
templates-messages.templates.doc_info.content_url,Content URL, 
templates-messages.templates.doc_info.locked,Locked, 
templates-messages.templates.doc_info.counter,Counter, 
templates-messages.templates.doc_info.aspects,Aspects, 
templates-messages.templates.doc_info.assocs,Assocs, 
templates-messages.templates.doc_info.properties,Properties, 
templates-messages.templates.doc_info.no_document_found,No document found!, 
templates-messages.templates.invite_user_email.invited_to_space,You have been invited to '{0}' by {1}, 
templates-messages.templates.invite_user_email.role,You will have the role of: {0}, 
templates-messages.templates.invite_user_email.you_can_view_the_space,You can view the space through the Alfresco Content Services client, 
templates-messages.templates.invite_user_email.regards,Regards, 
templates-messages.templates.invite-email-add-direct.html.header,You have been added to the '{0}' site, 
templates-messages.templates.invite-email-add-direct.html.salutation,"Hi {0},", 
templates-messages.templates.invite-email-add-direct.html.detail,{0} {1} has added you to the <b>{2}</b> site with the role of {3}., 
templates-messages.templates.invite-email-add-direct.html.navigate,Go to {0}, 
templates-messages.templates.invite-email-add-direct.html.leave,"<span>Don't want to be a part of this site?</span><br/><a href=""{0}"">Leave site</a>", 
templates-messages.templates.invite-email-add-direct.html.alfresco_info,"To find out more about Alfresco Content Services {0} visit <a href=""http://www.alfresco.com"">http://www.alfresco.com</a>", 
templates-messages.templates.invite-email-moderated.html.header,A new user wants to join '{0}', 
templates-messages.templates.invite-email-moderated.html.info,{0} requested to join the '{1}' site on {2}., 
templates-messages.templates.invite-email-moderated.html.see_pending,See Pending Requests, 
templates-messages.templates.invite-email.html.salutation_generic,"Hi,", 
templates-messages.templates.generic-email.ftl.salutation,"Hi {0},", 
templates-messages.templates.generic-email.ftl.copy_right,All Rights Reserved., 
templates-messages.templates.generic-email.ftl.contact_us,Contact Us, 
template-service.error_no_template,Unable to find the template '{0}'. Please contact your system administrator., 
template-service.error_template_fail,Error during processing of the template '{0}'. Please contact your system administrator., 
template-service.error_template_io,IO Error during processing of the template '{0}'. Please contact your system administrator., 
system-model.sys_systemmodel.description,Alfresco Content Services System Model, 
system-model.sys_systemmodel.type.sys_base.title,Base, 
system-model.sys_systemmodel.type.sys_base.description,Base, 
system-model.sys_systemmodel.type.sys_container.title,Container, 
system-model.sys_systemmodel.type.sys_container.description,Container, 
system-model.sys_systemmodel.association.sys_children.title,Children, 
system-model.sys_systemmodel.association.sys_children.description,Children, 
system-model.sys_systemmodel.type.sys_store_root.title,Store Root, 
system-model.sys_systemmodel.type.sys_store_root.description,Store Root, 
system-model.sys_systemmodel.type.sys_reference.title,Reference, 
system-model.sys_systemmodel.type.sys_reference.description,Reference, 
system-model.sys_systemmodel.property.sys_reference.title,Reference, 
system-model.sys_systemmodel.property.sys_reference.description,Reference, 
system-model.sys_systemmodel.property.sys_locale.title,Locale, 
system-model.sys_systemmodel.property.sys_locale.description,Locale, 
system-model.sys_systemmodel.aspect.aspect_root.title,Root, 
system-model.sys_systemmodel.aspect.aspect_root.description,Root, 
system-model.sys_systemmodel.aspect.sys_referenceable.title,Referenceable, 
system-model.sys_systemmodel.aspect.sys_referenceable.description,Referenceable, 
system-model.sys_systemmodel.property.sys_store-protocol.title,Store Protocol, 
system-model.sys_systemmodel.property.sys_store-protocol.description,Store Protocol, 
system-model.sys_systemmodel.property.sys_store-identifier.title,Store Identifier, 
system-model.sys_systemmodel.property.sys_store-identifier.description,Store Identifier, 
system-model.sys_systemmodel.property.sys_node-uuid.title,Node Identifier, 
system-model.sys_systemmodel.property.sys_node-uuid.description,Node Identifier, 
system-model.sys_systemmodel.property.sys_node-dbid.title,Node DB Identifier, 
system-model.sys_systemmodel.property.sys_node-dbid.description,Node DB Identifier, 
system-model.sys_systemmodel.aspect.sys_archived.title,Archived, 
system-model.sys_systemmodel.aspect.sys_archived.description,Archived Node, 
system-model.sys_systemmodel.property.sys_archivedBy.title,Archived By, 
system-model.sys_systemmodel.property.sys_archivedBy.description,Archived By, 
system-model.sys_systemmodel.property.sys_archivedDate.title,Archived Date, 
system-model.sys_systemmodel.property.sys_archivedDate.description,Archived Date, 
system-model.sys_systemmodel.property.sys_archivedOriginalPath.title,Original Location, 
system-model.sys_systemmodel.property.sys_archivedOriginalPath.description,Original Location, 
system-messages.system.err.property_not_set,Property '{0}' has not been set: {1} ({2}), 
system-messages.system.err.duplicate_name,Duplicate child name not allowed: {0}, 
system-messages.system.err.lucene_not_supported,The lucene search subsystem is not supported. Please see http://docs.alfresco.com/{0}/tasks/lucene-solr4-migration.html, 
system-messages.system.config_check.warn.dir_root,The 'dir.root' property is set to a relative path '{0}'.  'dir.root' should be overridden to point to a specific folder., 
system-messages.system.config_check.msg.dir_root,The root data directory ('dir.root') is: {0}, 
system-messages.system.config_check.err.missing_content,CONTENT INTEGRITY ERROR: System content not found in content store: '{0}', 
system-messages.system.config_check.err.fix_dir_root,Ensure that the 'dir.root' property '{0}' is pointing to the correct data location., 
system-messages.system.config_check.warn.starting_with_errors,Alfresco Content Services is starting with errors., 
system-messages.system.config_check.err.wrong_transaction_isolation_sql_server,"The transaction isolation is set to {0}, but should be set to {1} for MS SQL Server", 
system-messages.system.config_check.info.db_connection,Using database URL '{0}' with user '{1}'., 
system-messages.system.config_check.info.db_version,Connected to database {0} version {1}, 
system-messages.system.config_check.err.db_connection,Database connection failed: {0}, 
system-messages.system.schema_comp.debug.no_ref_file,"No reference schema file, expected: {0}", 
system-messages.system.schema_comp.debug.time_taken,Schema validation took {0} ms, 
system-messages.system.schema_comp.info.all_ok,Compared database schema with reference schema (all OK): {0}, 
system-messages.system.schema_comp.warn.problems_found,"Schema validation found {0} potential problems, results written to: {1}", 
system-messages.system.schema_comp.diff,"Difference: expected {0} {1}=""{2}"", but was {3}=""{4}""", 
system-messages.system.schema_comp.diff.ref_only,"Difference: missing {0} from database, expected at path: {1}", 
system-messages.system.schema_comp.diff.target_only,Difference: unexpected {0} found in database with path: {1}, 
system-messages.system.schema_comp.redundant_obj,"Redundancy: {0} items matching {1}, matches: {2}", 
system-messages.system.schema_comp.redundant_obj.many_matches,"{0} redundant items? reference: {1}, matches: {2} and {3} more", 
system-messages.system.schema_comp.validation,"Validation: {0} {1}=""{2}"" fails to match rule: {3}", 
system-messages.system.schema_comp.name_validator,name must match pattern '{0}', 
system-messages.system.schema_comp.index_columns_validator,"Number of columns in index doesn't match. Was {0}, but expected {1}", 
system-messages.system.schema_comp.column_names_validator,"Column types do not match. Was {0}, but expected {1}", 
system-messages.system.schema_comp.schema_version_validator,version must be at least '{0}', 
system-messages.system.cluster.license.not_enabled,License does not permit clustering: clustering is disabled., 
system-messages.system.cluster.disabled,Clustering is disabled: not starting., 
